timestamp,mq3,mq135,MQ8,MQ5,MQ7,mq4,mq6,MQ2,MQ9
2024-09-03 12:13:14,555,441,665,612,207,641,506,495,482
2024-09-03 12:13:15,556,442,665,614,205,641,506,496,483
2024-09-03 12:13:16,554,442,666,613,205,640,506,497,483
2024-09-03 12:13:17,555,442,665,612,208,639,505,497,482
2024-09-03 12:13:18,556,441,667,612,205,639,505,497,483
2024-09-03 12:13:19,554,440,665,613,209,640,505,495,483
2024-09-03 12:13:20,555,443,665,614,206,638,505,495,482
2024-09-03 12:13:21,556,442,665,614,206,640,506,496,482
2024-09-03 12:13:22,554,443,665,614,206,641,506,496,483
2024-09-03 12:13:23,555,443,665,614,205,639,505,495,482
2024-09-03 12:13:24,555,441,667,613,206,639,507,496,482
2024-09-03 12:13:25,555,443,665,614,205,640,507,496,481
2024-09-03 12:13:26,556,442,667,615,207,639,507,495,482
2024-09-03 12:13:27,554,441,666,614,206,640,505,496,482
2024-09-03 12:13:28,556,441,664,614,206,640,507,496,482
2024-09-03 12:13:29,554,442,667,612,208,639,505,496,483
2024-09-03 12:13:30,555,442,666,613,206,639,506,497,482
2024-09-03 12:13:31,554,442,666,614,207,640,505,495,484
2024-09-03 12:13:32,555,441,665,614,207,640,505,497,482
2024-09-03 12:13:33,554,441,667,614,207,639,505,497,482
2024-09-03 12:13:34,555,442,667,613,206,640,505,496,483
2024-09-03 12:13:35,556,443,667,614,206,640,506,495,482
2024-09-03 12:13:36,554,443,666,614,207,640,505,497,481
2024-09-03 12:13:37,555,443,665,613,208,639,506,497,482
2024-09-03 12:13:38,556,443,667,614,208,639,507,496,482
2024-09-03 12:13:39,555,442,665,612,206,640,506,496,482
2024-09-03 12:13:40,556,442,665,614,207,639,505,496,482
2024-09-03 12:13:41,554,442,666,613,208,640,505,495,482
2024-09-03 12:13:42,555,441,666,613,207,640,507,496,481
2024-09-03 12:13:43,556,441,667,614,208,639,507,496,482
2024-09-03 12:13:44,555,442,665,613,206,639,505,495,483
2024-09-03 12:13:45,554,442,667,612,208,639,505,495,483
2024-09-03 12:13:46,553,441,667,612,208,638,505,495,481
2024-09-03 12:13:47,555,443,665,612,207,639,505,495,483
2024-09-03 12:13:48,556,441,665,614,208,639,506,496,483
2024-09-03 12:13:49,555,441,665,612,206,640,506,496,482
2024-09-03 12:13:50,555,441,665,614,207,639,505,495,483
2024-09-03 12:13:51,556,441,664,614,209,638,505,495,482
2024-09-03 12:13:52,555,441,666,614,206,639,505,497,483
2024-09-03 12:13:53,554,442,665,614,209,639,505,495,481
2024-09-03 12:13:54,555,443,666,612,206,639,506,495,481
2024-09-03 12:13:55,553,442,665,614,208,640,507,497,483
2024-09-03 12:13:56,553,443,666,613,208,639,506,495,483
2024-09-03 12:13:57,554,442,666,613,208,639,505,495,482
2024-09-03 12:13:58,554,441,667,612,208,639,505,497,481
2024-09-03 12:13:59,554,442,666,614,207,639,506,496,482
2024-09-03 12:14:00,555,441,667,613,207,639,506,496,482
2024-09-03 12:14:01,553,443,665,615,208,640,506,495,482
2024-09-03 12:14:02,554,441,666,613,207,640,506,495,482
2024-09-03 12:14:03,555,441,665,613,208,640,507,496,482
2024-09-03 12:14:04,554,442,665,615,207,640,507,496,482
2024-09-03 12:14:05,555,441,666,614,209,639,506,496,482
2024-09-03 12:14:06,554,441,665,613,208,638,506,496,482
2024-09-03 12:14:07,553,441,666,614,207,640,506,495,482
2024-09-03 12:14:08,554,441,666,614,207,639,505,496,482
2024-09-03 12:14:09,555,442,665,612,207,638,505,497,481
2024-09-03 12:14:10,553,443,665,614,206,638,507,496,482
2024-09-03 12:14:11,554,442,665,614,209,638,506,497,482
