MQ135,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Target
615.6209106445312,655.4878463745117,903.4301147460938,687.8597946166992,732.7637252807617,505.4736213684082,274.5442810058594,628.4720458984375,629.4819183349609,BlackTie2509(20degEnvTemp)
616.6209106445312,655.4878463745117,904.4301147460938,688.8597946166992,731.7637252807617,504.4736213684082,274.5442810058594,628.4720458984375,630.4819183349609,BlackTie2509(20degEnvTemp)
617.6209106445312,657.4878463745117,902.4301147460938,688.8597946166992,732.7637252807617,503.4736213684082,275.5442810058594,630.4720458984375,631.4819183349609,BlackTie2509(20degEnvTemp)
616.6209106445312,656.4878463745117,902.4301147460938,688.8597946166992,730.7637252807617,504.4736213684082,273.5442810058594,629.4720458984375,630.4819183349609,BlackTie2509(20degEnvTemp)
614.6209106445312,654.4878463745117,901.4301147460938,686.8597946166992,731.7637252807617,505.4736213684082,275.5442810058594,628.4720458984375,628.4819183349609,BlackTie2509(20degEnvTemp)
615.6209106445312,655.4878463745117,902.4301147460938,686.8597946166992,731.7637252807617,503.4736213684082,275.5442810058594,628.4720458984375,630.4819183349609,BlackTie2509(20degEnvTemp)
616.6209106445312,656.4878463745117,903.4301147460938,688.8597946166992,730.7637252807617,505.4736213684082,272.5442810058594,629.4720458984375,630.4819183349609,BlackTie2509(20degEnvTemp)
614.6209106445312,654.4878463745117,901.4301147460938,686.8597946166992,731.7637252807617,503.4736213684082,272.5442810058594,628.4720458984375,629.4819183349609,BlackTie2509(20degEnvTemp)
614.6209106445312,654.4878463745117,900.4301147460938,687.8597946166992,731.7637252807617,505.4736213684082,272.5442810058594,628.4720458984375,629.4819183349609,BlackTie2509(20degEnvTemp)
614.6209106445312,654.4878463745117,901.4301147460938,686.8597946166992,731.7637252807617,503.4736213684082,272.5442810058594,629.4720458984375,629.4819183349609,BlackTie2509(20degEnvTemp)
613.6294784545898,654.5039978027344,901.4400291442871,687.8714408874512,731.7786636352539,505.4891128540039,271.55396270751953,627.4809532165527,627.4978256225586,BlackTie2509(20degEnvTemp)
614.6294784545898,656.5039978027344,901.4400291442871,686.8714408874512,730.7786636352539,503.4891128540039,271.55396270751953,629.4809532165527,629.4978256225586,BlackTie2509(20degEnvTemp)
613.6294784545898,654.5039978027344,902.4400291442871,686.8714408874512,730.7786636352539,503.4891128540039,274.55396270751953,626.4809532165527,629.4978256225586,BlackTie2509(20degEnvTemp)
614.6209106445312,653.4878463745117,901.4301147460938,685.8597946166992,731.7637252807617,503.4736213684082,272.5442810058594,628.4720458984375,629.4819183349609,BlackTie2509(20degEnvTemp)
615.6209106445312,654.4878463745117,902.4301147460938,686.8597946166992,730.7637252807617,503.4736213684082,272.5442810058594,628.4720458984375,629.4819183349609,BlackTie2509(20degEnvTemp)
614.620964050293,656.4814834594727,902.4262924194336,688.8520011901855,730.7553939819336,503.46694564819336,272.5448303222656,629.4685707092285,629.4708557128906,BlackTie2509(20degEnvTemp)
612.6380958557129,653.5137748718262,903.4461212158203,685.8753051757812,731.785270690918,505.49792861938477,273.5641899108887,629.486385345459,628.5026779174805,BlackTie2509(20degEnvTemp)
614.6295280456543,653.497631072998,902.4362106323242,687.8636512756348,732.7703323364258,505.48243713378906,272.5545120239258,630.477481842041,628.4867630004883,BlackTie2509(20degEnvTemp)
615.6295280456543,655.497631072998,902.4362106323242,685.8636512756348,730.7703323364258,503.48243713378906,271.5545120239258,628.477481842041,629.4867630004883,BlackTie2509(20degEnvTemp)
615.6380958557129,654.5137748718262,902.4461212158203,688.8753051757812,732.785270690918,504.49792861938477,274.5641899108887,628.486385345459,631.5026779174805,BlackTie2509(20degEnvTemp)
613.6380958557129,653.5137748718262,901.4461212158203,686.8753051757812,731.785270690918,505.49792861938477,274.5641899108887,628.486385345459,628.5026779174805,BlackTie2509(20degEnvTemp)
615.6380958557129,654.5137748718262,901.4461212158203,685.8753051757812,730.785270690918,504.49792861938477,272.5641899108887,630.486385345459,629.5026779174805,BlackTie2509(20degEnvTemp)
614.6295280456543,653.497631072998,902.4362106323242,686.8636512756348,730.7703323364258,505.48243713378906,271.5545120239258,628.477481842041,628.4867630004883,BlackTie2509(20degEnvTemp)
614.6380958557129,653.5137748718262,901.4461212158203,688.8753051757812,732.785270690918,505.49792861938477,274.5641899108887,628.486385345459,628.5026779174805,BlackTie2509(20degEnvTemp)
616.6380958557129,656.5137748718262,900.4461212158203,685.8753051757812,729.785270690918,503.49792861938477,272.5641899108887,627.486385345459,629.5026779174805,BlackTie2509(20degEnvTemp)
615.6380958557129,653.5137748718262,903.4461212158203,687.8753051757812,731.785270690918,504.49792861938477,274.5641899108887,627.486385345459,629.5026779174805,BlackTie2509(20degEnvTemp)
614.6380958557129,655.5137748718262,902.4461212158203,686.8753051757812,732.785270690918,505.49792861938477,273.5641899108887,628.486385345459,629.5026779174805,BlackTie2509(20degEnvTemp)
